id_master,descripcion_master,tipo_master,diametro_master,largo_master,grado_master,acabado_master,id_proveedor,tipo_proveedor,diametro_proveedor,largo_proveedor,grado_proveedor,acabado_proveedor,precio_unitario,proveedor,descripcion_proveedor,score_atributos,score_descripcion,score_final
BHG2NC125022Z,BULON HEXAGONAL G2 1/2-UNC-7/8 ZINC,bulón,1/2,7/8,G2,zinc,HEX-G2--1--102--708--RT--3--1,bulón,1/2,7/8,G2,natural,239.1792,Borroni,BU HEX G2 UNC - 1/2 x 7/8 RT NAT,90.0,79.17,85.67
BHG2NC065025Z,BULON HEXAGONAL G2 1/4-UNC-1 ZINC,bulón,1/4,1,G2,zinc,HEX-G2--1--104--100--RT--1--1,bulón,1/4,1,G2,zinc,54.0784,Borroni,BU HEX G2 UNC - 1/4 x 1 RT ZA,100.0,79.07,91.63
BHG2NC065025Z,BULON HEXAGONAL G2 1/4-UNC-1 ZINC,bulón,1/4,1,G2,zinc,HEX-G2--1--104--100--RT--3--1,bulón,1/4,1,G2,natural,51.2509,Borroni,BU HEX G2 UNC - 1/4 x 1 RT NAT,90.0,77.27,84.91
BHG2NC065012Z,BULON HEXAGONAL G2 1/4-UNC-1/2 ZINC,bulón,1/4,1/2,G2,zinc,HEX-G2--1--104--102--RT--1--1,bulón,1/4,1/2,G2,zinc,40.6641,Borroni,BU HEX G2 UNC - 1/4 x 1/2 RT ZA,100.0,80.85,92.34
CONJ-ESNC065012,CONJUNTO ESTANTERIAS BUL G2 1/4-UNC-1/2 CON TUERCA,bulón,1/4,1/2,G2,,HEX-G2--1--104--102--RT--3--1,bulón,1/4,1/2,G2,natural,38.6717,Borroni,BU HEX G2 UNC - 1/4 x 1/2 RT NAT,100.0,65.12,86.05
BHG2NC065012Z,BULON HEXAGONAL G2 1/4-UNC-1/2 ZINC,bulón,1/4,1/2,G2,zinc,HEX-G2--1--104--112--RT--1--1,bulón,1/4,1 1/2,G2,zinc,80.5252,Borroni,BU HEX G2 UNC - 1/4 x 1 1/2 RT ZA,85.0,77.55,82.02
BHG2NC065012Z,BULON HEXAGONAL G2 1/4-UNC-1/2 ZINC,bulón,1/4,1/2,G2,zinc,HEX-G2--1--104--112--RT--3--1,bulón,1/4,1 1/2,G2,natural,76.3085,Borroni,BU HEX G2 UNC - 1/4 x 1 1/2 RT NAT,75.0,76.0,75.4
BHG2NC065025Z,BULON HEXAGONAL G2 1/4-UNC-1 ZINC,bulón,1/4,1,G2,zinc,HEX-G2--1--104--114--RT--1--1,bulón,1/4,1 1/4,G2,zinc,68.7826,Borroni,BU HEX G2 UNC - 1/4 x 1 1/4 RT ZA,85.0,79.07,82.63
BHG2NC065025Z,BULON HEXAGONAL G2 1/4-UNC-1 ZINC,bulón,1/4,1,G2,zinc,HEX-G2--1--104--114--RT--3--1,bulón,1/4,1 1/4,G2,natural,65.1901,Borroni,BU HEX G2 UNC - 1/4 x 1 1/4 RT NAT,75.0,77.27,75.91
BHG2NC065019Z,BULON HEXAGONAL G2 1/4-UNC-3/4 ZINC,bulón,1/4,3/4,G2,zinc,HEX-G2--1--104--134--RP--1--1,bulón,1/4,1 3/4,G2,zinc,90.1755,Borroni,BU HEX G2 UNC - 1/4 x 1 3/4 RP ZA,85.0,77.55,82.02
BHG2NC065019Z,BULON HEXAGONAL G2 1/4-UNC-3/4 ZINC,bulón,1/4,3/4,G2,zinc,HEX-G2--1--104--134--RT--1--1,bulón,1/4,1 3/4,G2,zinc,90.1755,Borroni,BU HEX G2 UNC - 1/4 x 1 3/4 RT ZA,85.0,77.55,82.02
BHG2NC065019Z,BULON HEXAGONAL G2 1/4-UNC-3/4 ZINC,bulón,1/4,3/4,G2,zinc,HEX-G2--1--104--134--RT--3--1,bulón,1/4,1 3/4,G2,natural,85.4641,Borroni,BU HEX G2 UNC - 1/4 x 1 3/4 RT NAT,75.0,76.0,75.4
BHG2NC065050Z,BULON HEXAGONAL G2 1/4-UNC-2 ZINC,bulón,1/4,2,G2,zinc,HEX-G2--1--104--200--RT--1--1,bulón,1/4,2,G2,zinc,102.2074,Borroni,BU HEX G2 UNC - 1/4 x 2 RT ZA,100.0,79.07,91.63
BHG2NC065050Z,BULON HEXAGONAL G2 1/4-UNC-2 ZINC,bulón,1/4,2,G2,zinc,HEX-G2--1--104--200--RT--3--1,bulón,1/4,2,G2,natural,96.8688,Borroni,BU HEX G2 UNC - 1/4 x 2 RT NAT,90.0,77.27,84.91
BHG2NC065012Z,BULON HEXAGONAL G2 1/4-UNC-1/2 ZINC,bulón,1/4,1/2,G2,zinc,HEX-G2--1--104--212--RP--1--1,bulón,1/4,2 1/2,G2,zinc,125.5354,Borroni,BU HEX G2 UNC - 1/4 x 2 1/2 RP ZA,85.0,77.55,82.02
BHG2NC065012Z,BULON HEXAGONAL G2 1/4-UNC-1/2 ZINC,bulón,1/4,1/2,G2,zinc,HEX-G2--1--104--212--RP--3--2,bulón,1/4,2 1/2,G2,natural,115.443,Borroni,BU HEX G2 UNC - 1/4 x 2 1/2 RP NAT,75.0,76.0,75.4
BHG2NC065050Z,BULON HEXAGONAL G2 1/4-UNC-2 ZINC,bulón,1/4,2,G2,zinc,HEX-G2--1--104--214--RP--1--1,bulón,1/4,2 1/4,G2,zinc,114.4043,Borroni,BU HEX G2 UNC - 1/4 x 2 1/4 RP ZA,85.0,79.07,82.63
BHG2NC065050Z,BULON HEXAGONAL G2 1/4-UNC-2 ZINC,bulón,1/4,2,G2,zinc,HEX-G2--1--104--214--RP--3--2,bulón,1/4,2 1/4,G2,natural,108.2688,Borroni,BU HEX G2 UNC - 1/4 x 2 1/4 RP NAT,75.0,77.27,75.91
BHG2NC065019Z,BULON HEXAGONAL G2 1/4-UNC-3/4 ZINC,bulón,1/4,3/4,G2,zinc,HEX-G2--1--104--234--RP--1--1,bulón,1/4,2 3/4,G2,zinc,137.4113,Borroni,BU HEX G2 UNC - 1/4 x 2 3/4 RP ZA,85.0,77.55,82.02
BHG2NC065076Z,BULON HEXAGONAL G2 1/4-UNC-3 ZINC,bulón,1/4,3,G2,zinc,HEX-G2--1--104--300--RP--1--1,bulón,1/4,3,G2,zinc,147.0635,Borroni,BU HEX G2 UNC - 1/4 x 3 RP ZA,100.0,79.07,91.63
BHG2NC065019Z,BULON HEXAGONAL G2 1/4-UNC-3/4 ZINC,bulón,1/4,3/4,G2,zinc,HEX-G2--1--104--304--RT--1--1,bulón,1/4,3/4,G2,zinc,47.5378,Borroni,BU HEX G2 UNC - 1/4 x 3/4 RT ZA,100.0,80.85,92.34
BHG2NC065019Z,BULON HEXAGONAL G2 1/4-UNC-3/4 ZINC,bulón,1/4,3/4,G2,zinc,HEX-G2--1--104--304--RT--3--1,bulón,1/4,3/4,G2,natural,45.0557,Borroni,BU HEX G2 UNC - 1/4 x 3/4 RT NAT,90.0,79.17,85.67
BHG2NC065009Z,BULON HEXAGONAL G2 1/4-UNC-3/8 ZINC,bulón,1/4,3/8,G2,zinc,HEX-G2--1--104--308--RT--1--1,bulón,1/4,3/8,G2,zinc,37.2853,Borroni,BU HEX G2 UNC - 1/4 x 3/8 RT ZA,100.0,80.85,92.34
BHG2NC065009Z,BULON HEXAGONAL G2 1/4-UNC-3/8 ZINC,bulón,1/4,3/8,G2,zinc,HEX-G2--1--104--308--RT--3--1,bulón,1/4,3/8,G2,natural,35.4549,Borroni,BU HEX G2 UNC - 1/4 x 3/8 RT NAT,90.0,79.17,85.67
BHG2NC065012Z,BULON HEXAGONAL G2 1/4-UNC-1/2 ZINC,bulón,1/4,1/2,G2,zinc,HEX-G2--1--104--312--RP--1--1,bulón,1/4,3 1/2,G2,zinc,170.0949,Borroni,BU HEX G2 UNC - 1/4 x 3 1/2 RP ZA,85.0,77.55,82.02
BHG2NC065100Z,BULON HEXAGONAL G2 1/4-UNC-4 ZINC,bulón,1/4,4,G2,zinc,HEX-G2--1--104--400--RP--1--1,bulón,1/4,4,G2,zinc,193.1344,Borroni,BU HEX G2 UNC - 1/4 x 4 RP ZA,100.0,79.07,91.63
BHG2NC065012Z,BULON HEXAGONAL G2 1/4-UNC-1/2 ZINC,bulón,1/4,1/2,G2,zinc,HEX-G2--1--104--412--RP--1--1,bulón,1/4,4 1/2,G2,zinc,213.1865,Borroni,BU HEX G2 UNC - 1/4 x 4 1/2 RP ZA,85.0,77.55,82.02
BHG2NC065125Z,BULON HEXAGONAL G2 1/4-UNC-5 ZINC,bulón,1/4,5,G2,zinc,HEX-G2--1--104--500--RP--1--1,bulón,1/4,5,G2,zinc,235.4526,Borroni,BU HEX G2 UNC - 1/4 x 5 RP ZA,100.0,79.07,91.63
BHG2NC065016Z,BULON HEXAGONAL G2 1/4-UNC-5/8 ZINC,bulón,1/4,5/8,G2,zinc,HEX-G2--1--104--508--RT--1--1,bulón,1/4,5/8,G2,zinc,42.6367,Borroni,BU HEX G2 UNC - 1/4 x 5/8 RT ZA,100.0,80.85,92.34
BHG2NC065016Z,BULON HEXAGONAL G2 1/4-UNC-5/8 ZINC,bulón,1/4,5/8,G2,zinc,HEX-G2--1--104--508--RT--3--1,bulón,1/4,5/8,G2,natural,40.4115,Borroni,BU HEX G2 UNC - 1/4 x 5/8 RT NAT,90.0,79.17,85.67
BHG2NC065022Z,BULON HEXAGONAL G2 1/4-UNC-7/8 ZINC,bulón,1/4,7/8,G2,zinc,HEX-G2--1--104--708--RT--1--1,bulón,1/4,7/8,G2,zinc,50.3581,Borroni,BU HEX G2 UNC - 1/4 x 7/8 RT ZA,100.0,80.85,92.34
BHG2NC065022Z,BULON HEXAGONAL G2 1/4-UNC-7/8 ZINC,bulón,1/4,7/8,G2,zinc,HEX-G2--1--104--708--RT--3--1,bulón,1/4,7/8,G2,natural,47.7306,Borroni,BU HEX G2 UNC - 1/4 x 7/8 RT NAT,90.0,79.17,85.67
BHG2NC190038Z,"BULON HEXAGONAL G2 3/4-UNC-1,1/2 ZINC",bulón,3/4,1.1/2,G2,zinc,HEX-G2--1--304--112--RT--1--2,bulón,3/4,1 1/2,G2,zinc,968.5013,Borroni,BU HEX G2 UNC - 3/4 x 1 1/2 RT ZA,85.0,72.46,79.99
BHG2NC190038Z,"BULON HEXAGONAL G2 3/4-UNC-1,1/2 ZINC",bulón,3/4,1.1/2,G2,zinc,HEX-G2--1--304--112--RT--3--2,bulón,3/4,1 1/2,G2,natural,867.86,Borroni,BU HEX G2 UNC - 3/4 x 1 1/2 RT NAT,75.0,71.43,73.57
BHG2NC190025Z,BULON HEXAGONAL G2 3/4-UNC-1 ZINC,bulón,3/4,1,G2,zinc,HEX-G2--1--304--134--RT--1--2,bulón,3/4,1 3/4,G2,zinc,1056.2077,Borroni,BU HEX G2 UNC - 3/4 x 1 3/4 RT ZA,85.0,79.07,82.63
BHG2NC190025Z,BULON HEXAGONAL G2 3/4-UNC-1 ZINC,bulón,3/4,1,G2,zinc,HEX-G2--1--304--134--RT--3--2,bulón,3/4,1 3/4,G2,natural,888.177,Borroni,BU HEX G2 UNC - 3/4 x 1 3/4 RT NAT,75.0,77.27,75.91
BHG2NC190050Z,BULON HEXAGONAL G2 3/4-UNC-2 ZINC,bulón,3/4,2,G2,zinc,HEX-G2--1--304--200--RT--1--2,bulón,3/4,2,G2,zinc,1138.9179,Borroni,BU HEX G2 UNC - 3/4 x 2 RT ZA,100.0,79.07,91.63
BHG2NC190050Z,BULON HEXAGONAL G2 3/4-UNC-2 ZINC,bulón,3/4,2,G2,zinc,HEX-G2--1--304--200--RT--3--2,bulón,3/4,2,G2,natural,1034.5365,Borroni,BU HEX G2 UNC - 3/4 x 2 RT NAT,90.0,77.27,84.91
BHG2NC190038Z,"BULON HEXAGONAL G2 3/4-UNC-1,1/2 ZINC",bulón,3/4,1.1/2,G2,zinc,HEX-G2--1--304--212--RP--1--2,bulón,3/4,2 1/2,G2,zinc,1379.1942,Borroni,BU HEX G2 UNC - 3/4 x 2 1/2 RP ZA,85.0,72.46,79.99
BHG2NC190038Z,"BULON HEXAGONAL G2 3/4-UNC-1,1/2 ZINC",bulón,3/4,1.1/2,G2,zinc,HEX-G2--1--304--212--RP--3--2,bulón,3/4,2 1/2,G2,natural,1254.6749,Borroni,BU HEX G2 UNC - 3/4 x 2 1/2 RP NAT,75.0,71.43,73.57
BHG2NC190032Z,"BULON HEXAGONAL G2 3/4-UNC-1,1/4 ZINC",bulón,3/4,1.1/4,G2,zinc,HEX-G2--1--304--214--RP--1--2,bulón,3/4,2 1/4,G2,zinc,1276.1507,Borroni,BU HEX G2 UNC - 3/4 x 2 1/4 RP ZA,85.0,72.46,79.99
BHG2NC190032Z,"BULON HEXAGONAL G2 3/4-UNC-1,1/4 ZINC",bulón,3/4,1.1/4,G2,zinc,HEX-G2--1--304--214--RP--3--2,bulón,3/4,2 1/4,G2,natural,1144.1414,Borroni,BU HEX G2 UNC - 3/4 x 2 1/4 RP NAT,75.0,71.43,73.57
BHG2NC190032Z,"BULON HEXAGONAL G2 3/4-UNC-1,1/4 ZINC",bulón,3/4,1.1/4,G2,zinc,HEX-G2--1--304--214--RT--3--2,bulón,3/4,2 1/4,G2,natural,1144.1414,Borroni,BU HEX G2 UNC - 3/4 x 2 1/4 RT NAT,75.0,71.43,73.57
BHG2NC190050Z,BULON HEXAGONAL G2 3/4-UNC-2 ZINC,bulón,3/4,2,G2,zinc,HEX-G2--1--304--234--RP--1--2,bulón,3/4,2 3/4,G2,zinc,1489.7384,Borroni,BU HEX G2 UNC - 3/4 x 2 3/4 RP ZA,85.0,79.07,82.63
BHG2NC190050Z,BULON HEXAGONAL G2 3/4-UNC-2 ZINC,bulón,3/4,2,G2,zinc,HEX-G2--1--304--234--RP--3--2,bulón,3/4,2 3/4,G2,natural,1322.2916,Borroni,BU HEX G2 UNC - 3/4 x 2 3/4 RP NAT,75.0,77.27,75.91
BHG2NC190076Z,BULON HEXAGONAL G2 3/4-UNC-3 ZINC,bulón,3/4,3,G2,zinc,HEX-G2--1--304--300--RP--1--2,bulón,3/4,3,G2,zinc,1593.3477,Borroni,BU HEX G2 UNC - 3/4 x 3 RP ZA,100.0,79.07,91.63
BHG2NC190076Z,BULON HEXAGONAL G2 3/4-UNC-3 ZINC,bulón,3/4,3,G2,zinc,HEX-G2--1--304--300--RP--3--2,bulón,3/4,3,G2,natural,1343.1489,Borroni,BU HEX G2 UNC - 3/4 x 3 RP NAT,90.0,77.27,84.91
BHG2NC190038Z,"BULON HEXAGONAL G2 3/4-UNC-1,1/2 ZINC",bulón,3/4,1.1/2,G2,zinc,HEX-G2--1--304--312--RP--1--2,bulón,3/4,3 1/2,G2,zinc,1878.4029,Borroni,BU HEX G2 UNC - 3/4 x 3 1/2 RP ZA,85.0,72.46,79.99
BHG2NC190038Z,"BULON HEXAGONAL G2 3/4-UNC-1,1/2 ZINC",bulón,3/4,1.1/2,G2,zinc,HEX-G2--1--304--312--RP--3--2,bulón,3/4,3 1/2,G2,natural,1633.6321,Borroni,BU HEX G2 UNC - 3/4 x 3 1/2 RP NAT,75.0,71.43,73.57
BHG2NC190032Z,"BULON HEXAGONAL G2 3/4-UNC-1,1/4 ZINC",bulón,3/4,1.1/4,G2,zinc,HEX-G2--1--304--314--RP--1--2,bulón,3/4,3 1/4,G2,zinc,1762.6722,Borroni,BU HEX G2 UNC - 3/4 x 3 1/4 RP ZA,85.0,72.46,79.99
BHG2NC190032Z,"BULON HEXAGONAL G2 3/4-UNC-1,1/4 ZINC",bulón,3/4,1.1/4,G2,zinc,HEX-G2--1--304--314--RP--3--2,bulón,3/4,3 1/4,G2,natural,1533.6583,Borroni,BU HEX G2 UNC - 3/4 x 3 1/4 RP NAT,75.0,71.43,73.57
BHG2NC190100Z,BULON HEXAGONAL G2 3/4-UNC-4 ZINC,bulón,3/4,4,G2,zinc,HEX-G2--1--304--400--RP--1--2,bulón,3/4,4,G2,zinc,1998.9238,Borroni,BU HEX G2 UNC - 3/4 x 4 RP ZA,100.0,79.07,91.63
BHG2NC190100Z,BULON HEXAGONAL G2 3/4-UNC-4 ZINC,bulón,3/4,4,G2,zinc,HEX-G2--1--304--400--RP--3--2,bulón,3/4,4,G2,natural,1679.9834,Borroni,BU HEX G2 UNC - 3/4 x 4 RP NAT,90.0,77.27,84.91
BHG2NC190038Z,"BULON HEXAGONAL G2 3/4-UNC-1,1/2 ZINC",bulón,3/4,1.1/2,G2,zinc,HEX-G2--1--304--412--RP--1--2,bulón,3/4,4 1/2,G2,zinc,2205.1205,Borroni,BU HEX G2 UNC - 3/4 x 4 1/2 RP ZA,85.0,72.46,79.99
BHG2NC190038Z,"BULON HEXAGONAL G2 3/4-UNC-1,1/2 ZINC",bulón,3/4,1.1/2,G2,zinc,HEX-G2--1--304--412--RP--3--2,bulón,3/4,4 1/2,G2,natural,1870.5958,Borroni,BU HEX G2 UNC - 3/4 x 4 1/2 RP NAT,75.0,71.43,73.57
BHG2NC190125Z,BULON HEXAGONAL G2 3/4-UNC-5 ZINC,bulón,3/4,5,G2,zinc,HEX-G2--1--304--500--RP--1--2,bulón,3/4,5,G2,zinc,2404.7262,Borroni,BU HEX G2 UNC - 3/4 x 5 RP ZA,100.0,79.07,91.63
BHG2NC190125Z,BULON HEXAGONAL G2 3/4-UNC-5 ZINC,bulón,3/4,5,G2,zinc,HEX-G2--1--304--500--RP--3--2,bulón,3/4,5,G2,natural,2057.658,Borroni,BU HEX G2 UNC - 3/4 x 5 RP NAT,90.0,77.27,84.91
BHG2NC190155Z,BULON HEXAGONAL G2 3/4-UNC-6 ZINC,bulón,3/4,6,G2,zinc,HEX-G2--1--304--600--RP--1--2,bulón,3/4,6,G2,zinc,2825.0749,Borroni,BU HEX G2 UNC - 3/4 x 6 RP ZA,100.0,79.07,91.63
BHG2NC095025Z,BULON HEXAGONAL G2 3/8-UNC-1/ ZINC,bulón,3/8,1,G2,zinc,HEX-G2--1--308--100--RT--1--1,bulón,3/8,1,G2,zinc,127.518,Borroni,BU HEX G2 UNC - 3/8 x 1 RT ZA,100.0,73.17,89.27
BHG2NC095025Z,BULON HEXAGONAL G2 3/8-UNC-1/ ZINC,bulón,3/8,1,G2,zinc,HEX-G2--1--308--100--RT--3--1,bulón,3/8,1,G2,natural,120.3569,Borroni,BU HEX G2 UNC - 3/8 x 1 RT NAT,90.0,71.43,82.57
BHG2NC095012Z,BULON HEXAGONAL G2 3/8-UNC-1/2 ZINC,bulón,3/8,1/2,G2,zinc,HEX-G2--1--308--102--RT--1--2,bulón,3/8,1/2,G2,zinc,115.6073,Borroni,BU HEX G2 UNC - 3/8 x 1/2 RT ZA,100.0,80.85,92.34
BHG2NC095012Z,BULON HEXAGONAL G2 3/8-UNC-1/2 ZINC,bulón,3/8,1/2,G2,zinc,HEX-G2--1--308--102--RT--3--2,bulón,3/8,1/2,G2,natural,104.493,Borroni,BU HEX G2 UNC - 3/8 x 1/2 RT NAT,90.0,79.17,85.67
BHG2NC095012Z,BULON HEXAGONAL G2 3/8-UNC-1/2 ZINC,bulón,3/8,1/2,G2,zinc,HEX-G2--1--308--112--RT--1--1,bulón,3/8,1 1/2,G2,zinc,162.5463,Borroni,BU HEX G2 UNC - 3/8 x 1 1/2 RT ZA,85.0,77.55,82.02
BHG2NC095012Z,BULON HEXAGONAL G2 3/8-UNC-1/2 ZINC,bulón,3/8,1/2,G2,zinc,HEX-G2--1--308--112--RT--3--1,bulón,3/8,1 1/2,G2,natural,153.417,Borroni,BU HEX G2 UNC - 3/8 x 1 1/2 RT NAT,75.0,76.0,75.4
BHG2NC095032Z,"BULON HEXAGONAL G2 3/8-UNC-1,1/4 ZINC",bulón,3/8,1.1/4,G2,zinc,HEX-G2--1--308--114--RT--1--1,bulón,3/8,1 1/4,G2,zinc,154.14,Borroni,BU HEX G2 UNC - 3/8 x 1 1/4 RT ZA,85.0,72.46,79.99
BHG2NC095032Z,"BULON HEXAGONAL G2 3/8-UNC-1,1/4 ZINC",bulón,3/8,1.1/4,G2,zinc,HEX-G2--1--308--114--RT--3--1,bulón,3/8,1 1/4,G2,natural,145.4866,Borroni,BU HEX G2 UNC - 3/8 x 1 1/4 RT NAT,75.0,71.43,73.57
BHG2NC095019Z,BULON HEXAGONAL G2 3/8-UNC-3/4 ZINC,bulón,3/8,3/4,G2,zinc,HEX-G2--1--308--134--RP--1--1,bulón,3/8,1 3/4,G2,zinc,196.1786,Borroni,BU HEX G2 UNC - 3/8 x 1 3/4 RP ZA,85.0,77.55,82.02
BHG2NC095019Z,BULON HEXAGONAL G2 3/8-UNC-3/4 ZINC,bulón,3/8,3/4,G2,zinc,HEX-G2--1--308--134--RT--1--1,bulón,3/8,1 3/4,G2,zinc,196.1786,Borroni,BU HEX G2 UNC - 3/8 x 1 3/4 RT ZA,85.0,77.55,82.02
BHG2NC095019Z,BULON HEXAGONAL G2 3/8-UNC-3/4 ZINC,bulón,3/8,3/4,G2,zinc,HEX-G2--1--308--134--RT--3--1,bulón,3/8,1 3/4,G2,natural,185.1593,Borroni,BU HEX G2 UNC - 3/8 x 1 3/4 RT NAT,75.0,76.0,75.4
BHG2NC095050Z,BULON HEXAGONAL G2 3/8-UNC-2 ZINC,bulón,3/8,2,G2,zinc,HEX-G2--1--308--200--RT--1--1,bulón,3/8,2,G2,zinc,217.9018,Borroni,BU HEX G2 UNC - 3/8 x 2 RT ZA,100.0,79.07,91.63
BHG2NC095050Z,BULON HEXAGONAL G2 3/8-UNC-2 ZINC,bulón,3/8,2,G2,zinc,HEX-G2--1--308--200--RT--3--1,bulón,3/8,2,G2,natural,205.6537,Borroni,BU HEX G2 UNC - 3/8 x 2 RT NAT,90.0,77.27,84.91
BHG2NC095012Z,BULON HEXAGONAL G2 3/8-UNC-1/2 ZINC,bulón,3/8,1/2,G2,zinc,HEX-G2--1--308--212--RP--1--1,bulón,3/8,2 1/2,G2,zinc,266.9414,Borroni,BU HEX G2 UNC - 3/8 x 2 1/2 RP ZA,85.0,77.55,82.02
BHG2NC095012Z,BULON HEXAGONAL G2 3/8-UNC-1/2 ZINC,bulón,3/8,1/2,G2,zinc,HEX-G2--1--308--212--RP--3--1,bulón,3/8,2 1/2,G2,natural,251.9462,Borroni,BU HEX G2 UNC - 3/8 x 2 1/2 RP NAT,75.0,76.0,75.4
BHG2NC095025Z,BULON HEXAGONAL G2 3/8-UNC-1/ ZINC,bulón,3/8,1,G2,zinc,HEX-G2--1--308--214--RP--1--1,bulón,3/8,2 1/4,G2,zinc,245.9253,Borroni,BU HEX G2 UNC - 3/8 x 2 1/4 RP ZA,85.0,72.73,80.09
BHG2NC095025Z,BULON HEXAGONAL G2 3/8-UNC-1/ ZINC,bulón,3/8,1,G2,zinc,HEX-G2--1--308--214--RP--2--1,bulón,3/8,2 1/4,G2,,245.9253,Borroni,BU HEX G2 UNC - 3/8 x 2 1/4 RP ZD,83.33,72.73,79.09
BHG2NC095025Z,BULON HEXAGONAL G2 3/8-UNC-1/ ZINC,bulón,3/8,1,G2,zinc,HEX-G2--1--308--214--RP--3--1,bulón,3/8,2 1/4,G2,natural,232.107,Borroni,BU HEX G2 UNC - 3/8 x 2 1/4 RP NAT,75.0,71.64,73.66
BHG2NC095019Z,BULON HEXAGONAL G2 3/8-UNC-3/4 ZINC,bulón,3/8,3/4,G2,zinc,HEX-G2--1--308--234--RP--1--1,bulón,3/8,2 3/4,G2,zinc,295.6645,Borroni,BU HEX G2 UNC - 3/8 x 2 3/4 RP ZA,85.0,77.55,82.02
BHG2NC095019Z,BULON HEXAGONAL G2 3/8-UNC-3/4 ZINC,bulón,3/8,3/4,G2,zinc,HEX-G2--1--308--234--RP--3--1,bulón,3/8,2 3/4,G2,natural,279.0603,Borroni,BU HEX G2 UNC - 3/8 x 2 3/4 RP NAT,75.0,76.0,75.4
BHG2NC095019Z,BULON HEXAGONAL G2 3/8-UNC-3/4 ZINC,bulón,3/8,3/4,G2,zinc,HEX-G2--1--308--234--RT--1--1,bulón,3/8,2 3/4,G2,zinc,295.6645,Borroni,BU HEX G2 UNC - 3/8 x 2 3/4 RT ZA,85.0,77.55,82.02
BHG2NC095076Z,BULON HEXAGONAL G2 3/8-UNC-3 ZINC,bulón,3/8,3,G2,zinc,HEX-G2--1--308--300--RP--1--1,bulón,3/8,3,G2,zinc,315.2766,Borroni,BU HEX G2 UNC - 3/8 x 3 RP ZA,100.0,79.07,91.63
BHG2NC095076Z,BULON HEXAGONAL G2 3/8-UNC-3 ZINC,bulón,3/8,3,G2,zinc,HEX-G2--1--308--300--RP--3--1,bulón,3/8,3,G2,natural,297.5726,Borroni,BU HEX G2 UNC - 3/8 x 3 RP NAT,90.0,77.27,84.91
BHG2NC095019Z,BULON HEXAGONAL G2 3/8-UNC-3/4 ZINC,bulón,3/8,3/4,G2,zinc,HEX-G2--1--308--304--RT--1--1,bulón,3/8,3/4,G2,zinc,113.4877,Borroni,BU HEX G2 UNC - 3/8 x 3/4 RT ZA,100.0,80.85,92.34
BHG2NC095019Z,BULON HEXAGONAL G2 3/8-UNC-3/4 ZINC,bulón,3/8,3/4,G2,zinc,HEX-G2--1--308--304--RT--3--1,bulón,3/8,3/4,G2,natural,107.2897,Borroni,BU HEX G2 UNC - 3/8 x 3/4 RT NAT,90.0,79.17,85.67
BHG2NC095012Z,BULON HEXAGONAL G2 3/8-UNC-1/2 ZINC,bulón,3/8,1/2,G2,zinc,HEX-G2--1--308--312--RP--1--1,bulón,3/8,3 1/2,G2,zinc,360.1347,Borroni,BU HEX G2 UNC - 3/8 x 3 1/2 RP ZA,85.0,77.55,82.02
BHG2NC095012Z,BULON HEXAGONAL G2 3/8-UNC-1/2 ZINC,bulón,3/8,1/2,G2,zinc,HEX-G2--1--308--312--RP--3--1,bulón,3/8,3 1/2,G2,natural,311.4583,Borroni,BU HEX G2 UNC - 3/8 x 3 1/2 RP NAT,75.0,76.0,75.4
BHG2NC095012Z,BULON HEXAGONAL G2 3/8-UNC-1/2 ZINC,bulón,3/8,1/2,G2,zinc,HEX-G2--1--308--312--RT--3--1,bulón,3/8,3 1/2,G2,natural,311.4583,Borroni,BU HEX G2 UNC - 3/8 x 3 1/2 RT NAT,75.0,76.0,75.4
BHG2NC095100Z,BULON HEXAGONAL G2 3/8-UNC-4 ZINC,bulón,3/8,4,G2,zinc,HEX-G2--1--308--400--RP--1--1,bulón,3/8,4,G2,zinc,421.7629,Borroni,BU HEX G2 UNC - 3/8 x 4 RP ZA,100.0,79.07,91.63
BHG2NC095012Z,BULON HEXAGONAL G2 3/8-UNC-1/2 ZINC,bulón,3/8,1/2,G2,zinc,HEX-G2--1--308--412--RP--1--1,bulón,3/8,4 1/2,G2,zinc,469.4891,Borroni,BU HEX G2 UNC - 3/8 x 4 1/2 RP ZA,85.0,77.55,82.02
BHG2NC095125Z,BULON HEXAGONAL G2 3/8-UNC-5 ZINC,bulón,3/8,5,G2,zinc,HEX-G2--1--308--500--RP--1--1,bulón,3/8,5,G2,zinc,518.454,Borroni,BU HEX G2 UNC - 3/8 x 5 RP ZA,100.0,79.07,91.63
BHG2NC095016Z,BULON HEXAGONAL G2 3/8-UNC-5/8 ZINC,bulón,3/8,5/8,G2,zinc,HEX-G2--1--308--508--RT--1--1,bulón,3/8,5/8,G2,zinc,99.4494,Borroni,BU HEX G2 UNC - 3/8 x 5/8 RT ZA,100.0,80.85,92.34
BHG2NC095016Z,BULON HEXAGONAL G2 3/8-UNC-5/8 ZINC,bulón,3/8,5/8,G2,zinc,HEX-G2--1--308--508--RT--3--1,bulón,3/8,5/8,G2,natural,94.0045,Borroni,BU HEX G2 UNC - 3/8 x 5/8 RT NAT,90.0,79.17,85.67
