id_master,descripcion_master,tipo_master,diametro_master,largo_master,grado_master,acabado_master,id_proveedor,tipo_proveedor,diametro_proveedor,largo_proveedor,grado_proveedor,acabado_proveedor,precio_unitario,proveedor,descripcion_proveedor,score_atributos,score_descripcion,score_final
APC190Z,ARANDELA PLANA COMUN 3/4 ZINC,arandela,3/4,,,zinc,PLA-00--0--0304-1--2,arandela,3/4,,,zinc,7412.0,Borroni,ARANDELA PLANA - 3/4 ZA,100.0,92.31,96.92
APC095Z,ARANDELA PLANA COMUN 3/8 ZINC,arandela,3/8,,,zinc,PLA-00--0--0308-1--2,arandela,3/8,,,zinc,8415.0,Borroni,ARANDELA PLANA - 3/8 ZA,100.0,92.31,96.92
APC095N,ARANDELA PLANA COMUN 3/8 NAT,arandela,3/8,,,natural,PLA-00--0--0308-3--2,arandela,3/8,,,natural,7845.0,Borroni,ARANDELA PLANA - 3/8 NAT,100.0,100.0,100.0
APC047Z,ARANDELA PLANA COMUN 3/16 ZINC,arandela,3/16,,,zinc,PLA-00--0--0316-1--2,arandela,3/16,,,zinc,11696.0,Borroni,ARANDELA PLANA - 3/16 ZA,100.0,92.68,97.07
APC160Z,ARANDELA PLANA COMUN 5/8 ZINC,arandela,5/8,,,zinc,PLA-00--0--0508-1--2,arandela,5/8,,,zinc,7412.0,Borroni,ARANDELA PLANA - 5/8 ZA,100.0,92.31,96.92
APC079Z,ARANDELA PLANA COMUN 5/16 ZINC,arandela,5/16,,,zinc,PLA-00--0--0516-1--2,arandela,5/16,,,zinc,8563.0,Borroni,ARANDELA PLANA - 5/16 ZA,100.0,92.68,97.07
APC079N,ARANDELA PLANA COMUN 5/16 NAT,arandela,5/16,,,natural,PLA-00--0--0516-3--2,arandela,5/16,,,natural,7987.0,Borroni,ARANDELA PLANA - 5/16 NAT,100.0,100.0,100.0
APC039Z,ARANDELA PLANA COMUN 5/32 ZINC,arandela,5/32,,,zinc,PLA-00--0--0532-1--2,arandela,5/32,,,zinc,15974.0,Borroni,ARANDELA PLANA - 5/32 ZA,100.0,92.68,97.07
APC220Z,ARANDELA PLANA COMUN 7/8 ZINC,arandela,7/8,,,zinc,PLA-00--0--0708-1--2,arandela,7/8,,,zinc,7412.0,Borroni,ARANDELA PLANA - 7/8 ZA,100.0,92.31,96.92
APC110Z,ARANDELA PLANA COMUN 7/16 ZINC,arandela,7/16,,,zinc,PLA-00--0--0716-1--2,arandela,7/16,,,zinc,7702.0,Borroni,ARANDELA PLANA - 7/16 ZA,100.0,92.68,97.07
APC110N,ARANDELA PLANA COMUN 7/16 NAT,arandela,7/16,,,natural,PLA-00--0--0716-3--2,arandela,7/16,,,natural,7274.0,Borroni,ARANDELA PLANA - 7/16 NAT,100.0,100.0,100.0
APC140Z,ARANDELA PLANA COMUN 9/16 ZINC,arandela,9/16,,,zinc,PLA-00--0--0916-1--2,arandela,9/16,,,zinc,7412.0,Borroni,ARANDELA PLANA - 9/16 ZA,100.0,92.68,97.07
