id_proveedor,descripcion_proveedor,tipo_proveedor,score_final,proveedor
TRG-39--650,DRYWALL PHILLIPS 7 X 2 1/2 RG,tornillo_drywall,30.64,Borroni
TRG-42--250,DRYWALL PHILLIPS 8 X 1 RG,tornillo_drywall,42.11,Borroni
TRG-42--320,DRYWALL PHILLIPS 8 X 1 1/4 RG,tornillo_drywall,31.87,Borroni
TRG-42--380,DRYWALL PHILLIPS 8 X 1 1/2 RG,tornillo_drywall,31.87,Borroni
TRG-42--420,DRYWALL PHILLIPS 8 X 1 5/8 RG,tornillo_drywall,42.25,Borroni
TRG-42--450,DRYWALL PHILLIPS 8 X 1 3/4 RG,tornillo_drywall,42.5,Borroni
TRG-42--500,DRYWALL PHILLIPS 8 X 2 RG,tornillo_drywall,42.11,Borroni
TRG-42--650,DRYWALL PHILLIPS 8 X 2 1/2 RG,tornillo_drywall,30.64,Borroni
TRG-42--750,DRYWALL PHILLIPS 8 X 3 RG,tornillo_drywall,42.11,Borroni
TRG-48--100,DRYWALL PHILLIPS 10 X 4 RG,tornillo_drywall,42.91,Borroni
TRG-48--250,DRYWALL PHILLIPS 10 X 1 RG,tornillo_drywall,42.91,Borroni
TRG-48--380,DRYWALL PHILLIPS 10 X 1 1/2 RG,tornillo_drywall,42.98,Borroni
TRG-48--450,DRYWALL PHILLIPS 10 X 1 3/4 RG,tornillo_drywall,42.98,Borroni
TRG-48--500,DRYWALL PHILLIPS 10 X 2 RG,tornillo_drywall,44.36,Borroni
TRG-48--650,DRYWALL PHILLIPS 10 X 2 1/4 RG,tornillo_drywall,42.98,Borroni
TRG-48--750,DRYWALL PHILLIPS 10 X 3 RG,tornillo_drywall,42.91,Borroni
MET-00-0-M24-0300-1-2,"TU MET M24 - 3,00 ZA",tuerca,69.59,Borroni
01-0--M05--1--1,VR 1010 - M5 RD ZA,varilla,64.49,Borroni
01-0--M05--1--3,VR 1010 - M5 RD NAT,varilla,67.76,Borroni
01-0--M06--1--1,VR 1010 - M6 RD ZA,varilla,65.53,Borroni
01-0--M06--1--3,VR 1010 - M6 RD NAT,varilla,68.94,Borroni
01-0--M07--1--1,VR 1010 - M7 RD ZA,varilla,65.53,Borroni
01-0--M07--1--3,VR 1010 - M7 RD NAT,varilla,68.94,Borroni
01-0--M08--1--1,VR 1010 - M8 RD ZA,varilla,64.49,Borroni
01-0--M08--1--3,VR 1010 - M8 RD NAT,varilla,67.76,Borroni
01-1--100--1--1,VR 1010 UNC - 1 RD ZA,varilla,67.17,Borroni
01-1--102--1--1,VR 1010 UNC - 1/2 RD ZA,varilla,67.59,Borroni
01-1--104--1--1,VR 1010 UNC - 1/4 RD ZA,varilla,67.59,Borroni
01-1--108--1--1,VR 1010 UNC - 1/8 RD ZA,varilla,67.59,Borroni
01-1--112--1--1,VR 1010 UNC - 1 1/2 RD ZA,varilla,68.85,Borroni
01-1--114--1--1,VR 1010 UNC - 1 1/4 RD ZA,varilla,68.85,Borroni
01-1--118--1--1,VR 1010 UNC - 1 1/8 RD ZA,varilla,68.85,Borroni
01-1--200--1--1,VR 1010 UNC - 2 RD ZA,varilla,65.71,Borroni
01-1--200--1--3,VR 1010 UNC - 2 RD NAT,varilla,68.68,Borroni
01-1--304--1--1,VR 1010 UNC - 3/4 RD ZA,varilla,67.59,Borroni
01-1--304--3--3,VR 1010 UNC - 3/4 - 1430 MM RD NAT,varilla,68.66,Borroni
01-1--308--1--1,VR 1010 UNC - 3/8 RD ZA,varilla,67.59,Borroni
01-1--316--1--1,VR 1010 UNC - 3/16 RD ZA,varilla,68.0,Borroni
01-1--508--1--1,VR 1010 UNC - 5/8 RD ZA,varilla,67.59,Borroni
01-1--516--1--1,VR 1010 UNC - 5/16 RD ZA,varilla,68.0,Borroni
01-1--516--3--3,VR 1010 UNC - 5/16 - 650 MM RD NAT,varilla,67.46,Borroni
