id_proveedor,descripcion_proveedor,tipo_proveedor,score_final,proveedor
AC5X90,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 90 12.9",tornillo_allen,24.19,Trusoni
AC5X100,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 100 12.9",tornillo_allen,22.96,Trusoni
AC6X10,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 10 12.9",tornillo_allen,22.95,Trusoni
AC6X12,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 12 12.9",tornillo_allen,23.57,Trusoni
AC6X16,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 16 12.9",tornillo_allen,22.95,Trusoni
AC6X20,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 20 12.9",tornillo_allen,24.19,Trusoni
AC6X25,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 25 12.9",tornillo_allen,24.19,Trusoni
AC6X30,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 30 12.9",tornillo_allen,24.19,Trusoni
AC6X35,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 35 12.9",tornillo_allen,23.57,Trusoni
AC6X40,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 40 12.9",tornillo_allen,23.57,Trusoni
AC6X45,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 45 12.9",tornillo_allen,23.57,Trusoni
AC6X50,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 50 12.9",tornillo_allen,24.19,Trusoni
AC6X55,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 55 12.9",tornillo_allen,23.57,Trusoni
AC6X60,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 60 12.9",tornillo_allen,23.57,Trusoni
AC6X70,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 70 12.9",tornillo_allen,24.19,Trusoni
AC6X80,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 80 12.9",tornillo_allen,23.57,Trusoni
AC6X90,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 90 12.9",tornillo_allen,23.57,Trusoni
AC6X100,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 100 12.9",tornillo_allen,22.77,Trusoni
AC6X110,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 110 12.9",tornillo_allen,22.77,Trusoni
AC6X120,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 120 12.9",tornillo_allen,24.0,Trusoni
AC6X130,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 130 12.9",tornillo_allen,24.0,Trusoni
AC6X140,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 140 12.9",tornillo_allen,23.38,Trusoni
AC6X150,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 150 12.9",tornillo_allen,24.0,Trusoni
AC8X10,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 10 12.9",tornillo_allen,23.57,Trusoni
AC8X12,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 12 12.9",tornillo_allen,24.19,Trusoni
AC8X16,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 16 12.9",tornillo_allen,23.65,Trusoni
AC8X180,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 18 12.9",tornillo_allen,22.96,Trusoni
