codigo,tipo,forma,diametro,paso,largo,grado,sistema,sistema_rosca,acabado,precio_granel,precio_fraccionado,proveedor,descripcion
1040000000E0140,bulón,hexagonal,5/16,,5 1/2,G2,imperial,UNC,,306.1849755574653,324.5560740909133,efepe,Bulon G2 Hex UNC 5/16 5 1/2
1040000000E0155,bulón,hexagonal,5/16,,6,G2,imperial,UNC,,332.3338949350619,352.27392863116563,efepe,Bulon G2 Hex UNC 5/16 6
1040000000E0175,bulón,hexagonal,5/16,,7,G2,imperial,UNC,,422.37200911197607,447.7143296586946,efepe,Bulon G2 Hex UNC 5/16 7
1040000000E0200,bulón,hexagonal,5/16,,8,G2,imperial,UNC,,453.93446861784,481.1705367349104,efepe,Bulon G2 Hex UNC 5/16 8
1040000000F0012,bulón,hexagonal,3/8,,1/2,G2,imperial,UNC,,82.18094603544002,87.11180279756641,efepe,Bulon G2 Hex UNC 3/8 1/2
1040000000F0016,bulón,hexagonal,3/8,,5/8,G2,imperial,UNC,,94.9527302681946,100.64989408428627,efepe,Bulon G2 Hex UNC 3/8 5/8
1040000000F0019,bulón,hexagonal,3/8,,3/4,G2,imperial,UNC,,100.5289785,106.56071721,efepe,Bulon G2 Hex UNC 3/8 3/4
1040000000F0022,bulón,hexagonal,3/8,,7/8,G2,imperial,UNC,,109.27062880434782,115.82686653260868,efepe,Bulon G2 Hex UNC 3/8 7/8
1040000000F0025,bulón,hexagonal,3/8,,1,G2,imperial,UNC,,102.01267922832,108.1334399820192,efepe,Bulon G2 Hex UNC 3/8 1
1040000000F0032,bulón,hexagonal,3/8,,1 1/4,G2,imperial,UNC,,118.91721933,126.0522524898,efepe,Bulon G2 Hex UNC 3/8 1 1/4
1040000000F0038,bulón,hexagonal,3/8,,1 1/2,G2,imperial,UNC,,135.38268046800002,143.50564129608003,efepe,Bulon G2 Hex UNC 3/8 1 1/2
1040000000F0044,bulón,hexagonal,3/8,,1 3/4,G2,imperial,UNC,,154.11671625168,163.3637192267808,efepe,Bulon G2 Hex UNC 3/8 1 3/4
1040000000F0050,bulón,hexagonal,3/8,,2,G2,imperial,UNC,,172.55803272624,182.9115146898144,efepe,Bulon G2 Hex UNC 3/8 2
1040000000F0056,bulón,hexagonal,3/8,,2 1/4,G2,imperial,UNC,,194.95105987392003,206.64812346635523,efepe,Bulon G2 Hex UNC 3/8 2 1/4
