codigo,tipo,forma,diametro,paso,largo,grado,sistema,sistema_rosca,acabado,descripcion
TUABG2MA08D,tuerca,autofrenante,M8,1.25,,G2,métrico,,dicro,"TUERCA AUTOFR.BAJA G2 M8-1,25 DICRO"
TUABG2MA10D,tuerca,autofrenante,M10,1.5,,G2,métrico,,dicro,"TUERCA AUTOFR.BAJA G2 M10-1,5 DICRO"
TUABG2MA12D,tuerca,autofrenante,M12,1.75,,G2,métrico,,dicro,"TUERCA AUTOFR.BAJA G2 M12-1,75 DICRO"
TUABG2MA14D,tuerca,autofrenante,M14,2,,G2,métrico,,dicro,TUERCA AUTOFR.BAJA G2 M14-2 DICRO
TUABG2MA16D,tuerca,autofrenante,M16,2,,G2,métrico,,dicro,TUERCA AUTOFR.BAJA G2 M16-2 DICRO
TUABG2MA18D,tuerca,autofrenante,M18,2.5,,G2,métrico,,dicro,"TUERCA AUTOFR.BAJA G2 M18-2,5 DICRO"
TUABG2MA20D,tuerca,autofrenante,M20,2.5,,G2,métrico,,dicro,"TUERCA AUTOFR.BAJA G2 M20-2,5 DICRO"
TUABG2MA22D,tuerca,autofrenante,M22,2.5,,G2,métrico,,dicro,"TUERCA AUTOFR.BAJA G2 M22-2,5 DICRO"
TUABG2MA24D,tuerca,autofrenante,M24,3,,G2,métrico,,dicro,TUERCA AUTOFR.BAJA G2 M24-3 DICRO
TUABG2MA30D,tuerca,autofrenante,M30,3.5,,G2,métrico,,dicro,"TUERCA AUTOFR.BAJA G2 M30-3,5 DICRO"
TUABG2MB08D,tuerca,autofrenante,M8,1,,G2,métrico,,dicro,TUERCA AUTOFR.BAJA G2 M8-1 DICRO
TUABG2MB10D,tuerca,autofrenante,M10,1.25,,G2,métrico,,dicro,"TUERCA AUTOFR.BAJA G2 M10-1,25 DICRO"
TUABG2MC10D,tuerca,autofrenante,M10,1,,G2,métrico,,dicro,TUERCA AUTOFR.BAJA G2 M10-1 DICRO
TUABG2MC12D,tuerca,autofrenante,M12,1.25,,G2,métrico,,dicro,"TUERCA AUTOFR.BAJA G2 M12-1,25 DICRO"
TUABG2MB12D,tuerca,autofrenante,M12,1.5,,G2,métrico,,dicro,"TUERCA AUTOFR.BAJA G2 M12-1,5 DICRO"
TUABG2MB14D,tuerca,autofrenante,M14,1.5,,G2,métrico,,dicro,"TUERCA AUTOFR.BAJA G2 M14-1,5 DICRO"
TUABG2MB16D,tuerca,autofrenante,M16,1.5,,G2,métrico,,dicro,"TUERCA AUTOFR.BAJA G2 M16-1,5 DICRO"
TUABG2MB18D,tuerca,autofrenante,M18,1.5,,G2,métrico,,dicro,"TUERCA AUTOFR.BAJA G2 M18-1,5 DICRO"
TUABG2MB20D,tuerca,autofrenante,M20,1.5,,G2,métrico,,dicro,"TUERCA AUTOFR.BAJA G2 M20-1,5 DICRO"
TUABG2MB22D,tuerca,autofrenante,M22,1.5,,G2,métrico,,dicro,"TUERCA AUTOFR.BAJA G2 M22-1,5 DICRO"
TUABG2MB24D,tuerca,autofrenante,M24,2,,G2,métrico,,dicro,TUERCA AUTOFR.BAJA G2 M24-2 DICRO
TUABG2MB30D,tuerca,autofrenante,M30,2,,G2,métrico,,dicro,TUERCA AUTOFR.BAJA G2 M30-2 DICRO
TU936G2MB14D,tuerca,hexagonal,M14,1.5,,G2,métrico,,dicro,"TUERCA HEXAGONAL DIN 936 G2 M14-1,5 DICRO"
TUHG2NC047N,tuerca,hexagonal,3/16,2,4,G2,imperial,UNC,natural,TUERCA HEXAGONAL G2 3/16-UNC (24) NAT
TUHG2NC065N,tuerca,hexagonal,1/4,2,0,G2,imperial,UNC,natural,TUERCA HEXAGONAL G2 1/4-UNC (20) NAT
TUHG2NC079N,tuerca,hexagonal,5/16,1,8,G2,imperial,UNC,natural,TUERCA HEXAGONAL G2 5/16-UNC (18) NAT
TUHG2NC095N,tuerca,hexagonal,3/8,1,6,G2,imperial,UNC,natural,TUERCA HEXAGONAL G2 3/8-UNC (16) NAT
TUHG2NC110N,tuerca,hexagonal,7/16,1,4,G2,imperial,UNC,natural,TUERCA HEXAGONAL G2 7/16-UNC (14) NAT
TUHG2NC125N,tuerca,hexagonal,1/2,1,3,G2,imperial,UNC,natural,TUERCA HEXAGONAL G2 1/2-UNC (13) NAT
TUHG2WH125N,tuerca,hexagonal,1/2,2,,G2,imperial,WH,natural,TUERCA HEXAGONAL G2 1/2-WHT (12) NAT
TUHG2NC140N,tuerca,hexagonal,9/16,1,2,G2,imperial,UNC,natural,TUERCA HEXAGONAL G2 9/16-UNC (12) NAT
TUHG2NC160N,tuerca,hexagonal,5/8,1,1,G2,imperial,UNC,natural,TUERCA HEXAGONAL G2 5/8-UNC (11) NAT
TUHG2NC190N,tuerca,hexagonal,3/4,1,0,G2,imperial,UNC,natural,TUERCA HEXAGONAL G2 3/4-UNC (10) NAT
TUHG2NC220N,tuerca,hexagonal,7/8,2,,G2,imperial,UNC,natural,TUERCA HEXAGONAL G2 7/8-UNC (9) NAT
TUHG2NC250N,tuerca,hexagonal,,2,,G2,imperial,UNC,natural,TUERCA HEXAGONAL G2 1-UNC (8) NAT
TUHG2NC285N,tuerca,hexagonal,1.1/8,2,,G2,imperial,UNC,natural,"TUERCA HEXAGONAL G2 1,1/8-UNC (7) NAT"
TUHG2NC317N,tuerca,hexagonal,1.1/4,2,,G2,imperial,UNC,natural,"TUERCA HEXAGONAL G2 1,1/4-UNC (7) NAT"
TUHG2NC381N,tuerca,hexagonal,1.1/2,2,,G2,imperial,UNC,natural,"TUERCA HEXAGONAL G2 1,1/2-UNC (6) NAT"
TUHG2NC039Z,tuerca,hexagonal,5/32,3,2,G2,imperial,UNC,zinc,TUERCA HEXAGONAL G2 5/32-UNC (32) ZINC
TUHG2NC047Z,tuerca,hexagonal,3/16,2,4,G2,imperial,UNC,zinc,TUERCA HEXAGONAL G2 3/16-UNC (24) ZINC
TUHG2NC065Z,tuerca,hexagonal,1/4,2,0,G2,imperial,UNC,zinc,TUERCA HEXAGONAL G2 1/4-UNC (20) ZINC
TUHG2NC079Z,tuerca,hexagonal,5/16,1,8,G2,imperial,UNC,zinc,TUERCA HEXAGONAL G2 5/16-UNC (18) ZINC
TUHG2NC095Z,tuerca,hexagonal,3/8,1,6,G2,imperial,UNC,zinc,TUERCA HEXAGONAL G2 3/8-UNC (16) ZINC
TUHG2NC110Z,tuerca,hexagonal,7/16,1,4,G2,imperial,UNC,zinc,TUERCA HEXAGONAL G2 7/16-UNC (14) ZINC
TUHG2WH125Z,tuerca,hexagonal,1/2,2,,G2,imperial,NC,zinc,TUERCA HEXAGONAL G2 1/2-12-WHT (12) ZINC
TUHG2NC125Z,tuerca,hexagonal,1/2,1,3,G2,imperial,UNC,zinc,TUERCA HEXAGONAL G2 1/2-13-UNC (13) ZINC
TUHG2NC140Z,tuerca,hexagonal,9/16,1,2,G2,imperial,UNC,zinc,TUERCA HEXAGONAL G2 9/16-UNC (12) ZINC
TUHG2NC160Z,tuerca,hexagonal,5/8,1,1,G2,imperial,UNC,zinc,TUERCA HEXAGONAL G2 5/8-UNC (11) ZINC
TUHG2NC190Z,tuerca,hexagonal,3/4,1,0,G2,imperial,UNC,zinc,TUERCA HEXAGONAL G2 3/4-UNC (10) ZINC
TUHG2NC220Z,tuerca,hexagonal,7/8,2,,G2,imperial,UNC,zinc,TUERCA HEXAGONAL G2 7/8-UNC (9) ZINC
TUHG2NC250Z,tuerca,hexagonal,,2,,G2,imperial,UNC,zinc,TUERCA HEXAGONAL G2 1-UNC (8) ZINC
TUHG2NC285Z,tuerca,hexagonal,1.1/8,2,,G2,imperial,UNC,zinc,"TUERCA HEXAGONAL G2 1,1/8-UNC (7) ZINC"
TUHG2NC317Z,tuerca,hexagonal,1.1/4,2,,G2,imperial,UNC,zinc,"TUERCA HEXAGONAL G2 1,1/4-UNC (7) ZINC"
TUHG2NC381Z,tuerca,hexagonal,1.1/2,2,,G2,imperial,UNC,zinc,"TUERCA HEXAGONAL G2 1,1/2-UNC (6) ZINC"
TUHG2NF065Z,tuerca,hexagonal,1/4,2,8,G2,imperial,UNF,zinc,TUERCA HEXAGONAL G2 1/4-UNF (28) ZINC
TUHG2NF079Z,tuerca,hexagonal,5/16,2,4,G2,imperial,UNF,zinc,TUERCA HEXAGONAL G2 5/16-UNF (24) ZINC
TUHG2NF095Z,tuerca,hexagonal,3/8,2,4,G2,imperial,UNF,zinc,TUERCA HEXAGONAL G2 3/8-UNF (24) ZINC
TUHG2NF110Z,tuerca,hexagonal,7/16,2,0,G2,imperial,UNF,zinc,TUERCA HEXAGONAL G2 7/16-UNF (20) ZINC
TUHG2NF125Z,tuerca,hexagonal,1/2,2,0,G2,imperial,UNF,zinc,TUERCA HEXAGONAL G2 1/2-UNF (20) ZINC
TUHG2NF140Z,tuerca,hexagonal,9/16,1,8,G2,imperial,UNF,zinc,TUERCA HEXAGONAL G2 9/16-UNF (18) ZINC
TUHG2NF160Z,tuerca,hexagonal,5/8,1,8,G2,imperial,UNF,zinc,TUERCA HEXAGONAL G2 5/8-UNF (18) ZINC
TUHG2NF190Z,tuerca,hexagonal,3/4,1,6,G2,imperial,UNF,zinc,TUERCA HEXAGONAL G2 3/4-UNF (16) ZINC
TUHG2NF220Z,tuerca,hexagonal,7/8,1,4,G2,imperial,UNF,zinc,TUERCA HEXAGONAL G2 7/8-UNF (14) ZINC
TUHG2NF250Z,tuerca,hexagonal,,2,,G2,imperial,UNF,zinc,TUERCA HEXAGONAL G2 1-UNF (14) ZINC
TUHG2NF285Z,tuerca,hexagonal,1.1/8,1,2,G2,imperial,UNF,zinc,"TUERCA HEXAGONAL G2 1,1/8-UNF (12) ZINC"
TUHG2NF317Z,tuerca,hexagonal,1.1/4,1,2,G2,imperial,UNF,zinc,"TUERCA HEXAGONAL G2 1,1/4-UNF (12) ZINC"
TUHG2NF381Z,tuerca,hexagonal,1.1/2,1,2,G2,imperial,UNF,zinc,"TUERCA HEXAGONAL G2 1,1/2-UNF (12) ZINC"
TUHG2MA05N,tuerca,hexagonal,M05,0.8,,G2,métrico,,natural,"TUERCA HEXAGONAL G2 M05-0,8 NAT"
TUHG2MA06N,tuerca,hexagonal,M06,1,,G2,métrico,,natural,TUERCA HEXAGONAL G2 M06-1 NAT
TUHG2MA07N,tuerca,hexagonal,M07,1,,G2,métrico,,natural,TUERCA HEXAGONAL G2 M07-1 NAT
TUHG2MA08N,tuerca,hexagonal,M08,1.25,,G2,métrico,,natural,"TUERCA HEXAGONAL G2 M08-1,25 NAT"
TUHG2MA10N,tuerca,hexagonal,M10,1.5,,G2,métrico,,natural,"TUERCA HEXAGONAL G2 M10-1,5 NAT"
TUHG2MA12N,tuerca,hexagonal,M12,1.75,,G2,métrico,,natural,"TUERCA HEXAGONAL G2 M12-1,75 NAT"
TUHG2MA14N,tuerca,hexagonal,M14,2,,G2,métrico,,natural,TUERCA HEXAGONAL G2 M14-2 NAT
TUHG2MA16N,tuerca,hexagonal,M16,2,,G2,métrico,,natural,TUERCA HEXAGONAL G2 M16-2 NAT
TUHG2MA18N,tuerca,hexagonal,M18,2.5,,G2,métrico,,natural,"TUERCA HEXAGONAL G2 M18-2,5 NAT"
TUHG2MA20N,tuerca,hexagonal,M20,2.5,,G2,métrico,,natural,"TUERCA HEXAGONAL G2 M20-2,5 NAT"
TUHG2MA22N,tuerca,hexagonal,M22,2.5,,G2,métrico,,natural,"TUERCA HEXAGONAL G2 M22-2,5 NAT"
TUHG2MA24N,tuerca,hexagonal,M24,3,,G2,métrico,,natural,TUERCA HEXAGONAL G2 M24-3 NAT
