codigo,tipo,diametro,paso,largo,grado,sistema,precio_unitario,proveedor,descripcion
codigo,otro,,,,,otro,precio_unitario,proveedor,descripcion
1040000000F0070,bulón,3/8,,2,,imperial,232.84768757409478,fleb,Bulon G2 Hex UNC 3/8 2 3/4
1040000000F0076,bulón,3/8,,3,,imperial,251.88496549776005,fleb,Bulon G2 Hex UNC 3/8 3
1040000000F0082,bulón,3/8,,3,,imperial,270.7008586824173,fleb,Bulon G2 Hex UNC 3/8 3 1/4
1040000000F0090,bulón,3/8,,3,,imperial,289.7863205373417,fleb,Bulon G2 Hex UNC 3/8 3 1/2
1040000000F0100,bulón,3/8,,4,,imperial,327.69926655984005,fleb,Bulon G2 Hex UNC 3/8 4
1040000000F0110,bulón,3/8,,4,,imperial,365.53323726360003,fleb,Bulon G2 Hex UNC 3/8 4 1/2
1040000000F0125,bulón,3/8,,5,,imperial,411.70970827728,fleb,Bulon G2 Hex UNC 3/8 5
1040000000F0140,bulón,3/8,,5,,imperial,360.5265558746636,fleb,Bulon G2 Hex UNC 3/8 5 1/2
1040000000F0155,bulón,3/8,,6,,imperial,489.0565615426268,fleb,Bulon G2 Hex UNC 3/8 6
1040000000F0175,bulón,3/8,,7,,imperial,557.931568859991,fleb,Bulon G2 Hex UNC 3/8 7
1040000000F0200,bulón,3/8,,8,,imperial,643.32386161848,fleb,Bulon G2 Hex UNC 3/8 8
1040000000G0022,bulón,7/16,,7/8,,imperial,107.59007430328407,fleb,Bulon G2 Hex UNC 7/16 7/8
1040000000G0025,bulón,7/16,,1,,imperial,144.74969835984,fleb,Bulon G2 Hex UNC 7/16 1
1040000000G0032,bulón,7/16,,1,,imperial,165.27390932130984,fleb,Bulon G2 Hex UNC 7/16 1 1/4
1040000000G0038,bulón,7/16,,1,,imperial,191.21888868264,fleb,Bulon G2 Hex UNC 7/16 1 1/2
1040000000G0044,bulón,7/16,,1,,imperial,234.10812185490246,fleb,Bulon G2 Hex UNC 7/16 1 3/4
1040000000G0050,bulón,7/16,,2,,imperial,261.99196763414636,fleb,Bulon G2 Hex UNC 7/16 2
1040000000G0056,bulón,7/16,,2,,imperial,231.9006507307123,fleb,Bulon G2 Hex UNC 7/16 2 1/4
1040000000G0063,bulón,7/16,,2,,imperial,317.75965919263433,fleb,Bulon G2 Hex UNC 7/16 2 1/2
1040000000G0070,bulón,7/16,,2,,imperial,276.51480397750265,fleb,Bulon G2 Hex UNC 7/16 2 3/4
1040000000G0076,bulón,7/16,,3,,imperial,346.65284182536,fleb,Bulon G2 Hex UNC 7/16 3
1040000000G0082,bulón,7/16,,3,,imperial,373.60873932344396,fleb,Bulon G2 Hex UNC 7/16 3 1/4
1040000000G0090,bulón,7/16,,3,,imperial,398.40816502168127,fleb,Bulon G2 Hex UNC 7/16 3 1/2
1040000000G0100,bulón,7/16,,4,,imperial,450.16348821800256,fleb,Bulon G2 Hex UNC 7/16 4
1040000000G0110,bulón,7/16,,4,,imperial,502.9970473142472,fleb,Bulon G2 Hex UNC 7/16 4 1/2
1040000000G0125,bulón,7/16,,5,,imperial,553.8897817906295,fleb,Bulon G2 Hex UNC 7/16 5
1040000000G0140,bulón,7/16,,5,,imperial,484.6023428615544,fleb,Bulon G2 Hex UNC 7/16 5 1/2
1040000000G0155,bulón,7/16,,6,,imperial,671.49809512128,fleb,Bulon G2 Hex UNC 7/16 6
1040000000H0019,bulón,1/2,,3/4,,imperial,201.67567746933923,fleb,Bulon G2 Hex UNC 1/2 3/4
1040000000H0022,bulón,1/2,,7/8,,imperial,219.57068858937316,fleb,Bulon G2 Hex UNC 1/2 7/8
1040000000H0025,bulón,1/2,,1,,imperial,229.5611549201896,fleb,Bulon G2 Hex UNC 1/2 1
1040000000H0032,bulón,1/2,,1,,imperial,257.44663237104004,fleb,Bulon G2 Hex UNC 1/2 1 1/4
1040000000H0038,bulón,1/2,,1,,imperial,294.47562497472006,fleb,Bulon G2 Hex UNC 1/2 1 1/2
1040000000H0044,bulón,1/2,,1,,imperial,329.60194206912007,fleb,Bulon G2 Hex UNC 1/2 1 3/4
1040000000H0050,bulón,1/2,,2,,imperial,357.33709660824,fleb,Bulon G2 Hex UNC 1/2 2
1040000000H0056,bulón,1/2,,2,,imperial,422.6567809344774,fleb,Bulon G2 Hex UNC 1/2 2 1/4
1040000000H0063,bulón,1/2,,2,,imperial,434.76135387048004,fleb,Bulon G2 Hex UNC 1/2 2 1/2
1040000000H0070,bulón,1/2,,2,,imperial,469.43694697005833,fleb,Bulon G2 Hex UNC 1/2 2 3/4
1040000000H0076,bulón,1/2,,3,,imperial,566.4394679368659,fleb,Bulon G2 Hex UNC 1/2 3
1040000000H0082,bulón,1/2,,3,,imperial,580.5384970053314,fleb,Bulon G2 Hex UNC 1/2 3 1/4
1040000000H0090,bulón,1/2,,3,,imperial,619.2620359791343,fleb,Bulon G2 Hex UNC 1/2 3 1/2
1040000000H0100,bulón,1/2,,4,,imperial,645.66561609144,fleb,Bulon G2 Hex UNC 1/2 4
1040000000H0110,bulón,1/2,,4,,imperial,715.77189062568,fleb,Bulon G2 Hex UNC 1/2 4 1/2
1040000000H0125,bulón,1/2,,5,,imperial,785.8357013760401,fleb,Bulon G2 Hex UNC 1/2 5
1040000000H0140,bulón,1/2,,5,,imperial,684.7196097011204,fleb,Bulon G2 Hex UNC 1/2 5 1/2
1040000000H0155,bulón,1/2,,6,,imperial,925.724815092,fleb,Bulon G2 Hex UNC 1/2 6
1040000000H0175,bulón,1/2,,7,,imperial,1035.2763897593645,fleb,Bulon G2 Hex UNC 1/2 7
1040000000H0200,bulón,1/2,,8,,imperial,915.6382250970511,fleb,Bulon G2 Hex UNC 1/2 8
1040000000H0225,bulón,1/2,,9,,imperial,1051.0675067625684,fleb,Bulon G2 Hex UNC 1/2 9
1040000000H0250,bulón,1/2,,10,,imperial,1453.1413986056752,fleb,Bulon G2 Hex UNC 1/2 10
1040000000H0275,bulón,1/2,,11,,imperial,1625.0617214084755,fleb,Bulon G2 Hex UNC 1/2 11
1040000000H0300,bulón,1/2,,12,,imperial,1793.1715546576272,fleb,Bulon G2 Hex UNC 1/2 12
1040000000J0025,bulón,5/8,,1,,imperial,378.5592465194399,fleb,Bulon G2 Hex UNC 5/8 1
1040000000J0032,bulón,5/8,,1,,imperial,422.5777635565841,fleb,Bulon G2 Hex UNC 5/8 1 1/4
1040000000J0038,bulón,5/8,,1,,imperial,466.59457873727996,fleb,Bulon G2 Hex UNC 5/8 1 1/2
1040000000J0044,bulón,5/8,,1,,imperial,544.6233013728529,fleb,Bulon G2 Hex UNC 5/8 1 3/4
1040000000J0050,bulón,5/8,,2,,imperial,557.92300318272,fleb,Bulon G2 Hex UNC 5/8 2
1040000000J0056,bulón,5/8,,2,,imperial,623.2725889437602,fleb,Bulon G2 Hex UNC 5/8 2 1/4
1040000000J0063,bulón,5/8,,2,,imperial,674.5716478670402,fleb,Bulon G2 Hex UNC 5/8 2 1/2
1040000000J0070,bulón,5/8,,2,,imperial,731.0664745272001,fleb,Bulon G2 Hex UNC 5/8 2 3/4
1040000000J0076,bulón,5/8,,3,,imperial,784.4877484415999,fleb,Bulon G2 Hex UNC 5/8 3
1040000000J0082,bulón,5/8,,3,,imperial,838.1218242238425,fleb,Bulon G2 Hex UNC 5/8 3 1/4
1040000000J0090,bulón,5/8,,3,,imperial,892.030946548558,fleb,Bulon G2 Hex UNC 5/8 3 1/2
1040000000J0100,bulón,5/8,,4,,imperial,1000.2950590903198,fleb,Bulon G2 Hex UNC 5/8 4
1040000000J0110,bulón,5/8,,4,,imperial,1107.3571464009601,fleb,Bulon G2 Hex UNC 5/8 4 1/2
