codigo,tipo,forma,diametro,paso,largo,grado,sistema,sistema_rosca,acabado,precio_unitario,proveedor,descripcion
CAR-G2--1--104--100--RT--2--1,bulón,,1/4,,1,G2,imperial,,,55.6189,borroni,BU CAR G2 - 1/4 x 1  ZD
CAR-G2--1--104--114--RT--1--1,bulón,,1/4,,1 1/4,G2,imperial,,zinc,66.0208,borroni,BU CAR G2 - 1/4 x 1 1/4  ZA
CAR-G2--1--104--114--RT--2--1,bulón,,1/4,,1 1/4,G2,imperial,,,66.0208,borroni,BU CAR G2 - 1/4 x 1 1/4 RT ZD
CAR-G2--1--104--214--RT--1--1,bulón,,1/4,,2 1/4,G2,imperial,,zinc,101.6953,borroni,BU CAR G2 - 1/4 x 2 1/4  ZA
CAR-G2--1--308--200--RT--1--1,bulón,,3/8,,2,G2,imperial,,zinc,235.2732,borroni,BU CAR G2 - 3/8 x 2  ZA
CAR-G2--1--308--212--RT--1--1,bulón,,3/8,,2 1/2,G2,imperial,,zinc,270.5345,borroni,BU CAR G2 - 3/8 x 2 1/2  ZA
CAR-G2--1--308--214--RT--1--1,bulón,,3/8,,2 1/4,G2,imperial,,zinc,246.2644,borroni,BU CAR G2 - 3/8 x 2 1/4  ZA
CAR-G2--1--308--234--RT--1--1,bulón,,3/8,,2 3/4,G2,imperial,,zinc,294.8033,borroni,BU CAR G2 - 3/8 x 2 3/4  ZA
CAR-G2--1--308--300--RT--1--1,bulón,,3/8,,3,G2,imperial,,zinc,315.6032,borroni,BU CAR G2 - 3/8 x 3  ZA
CAR-G2--1--308--300--RT--2--1,bulón,,3/8,,3,G2,imperial,,,315.6032,borroni,BU CAR G2 - 3/8 x 3  ZD
CAR-G2--1--308--312--RT--1--1,bulón,,3/8,,3 1/2,G2,imperial,,zinc,364.1389,borroni,BU CAR G2 - 3/8 x 3 1/2  ZA
CAR-G2--1--308--312--RT--2--1,bulón,,3/8,,3 1/2,G2,imperial,,,364.1389,borroni,BU CAR G2 - 3/8 x 3 1/2  ZD
CAR-G2--1--308--314--RT--1--1,bulón,,3/8,,3 1/4,G2,imperial,,zinc,336.4216,borroni,BU CAR G2 - 3/8 x 3 1/4  ZA
CAR-G2--1--308--412--RT--1--1,bulón,,3/8,,4 1/2,G2,imperial,,zinc,425.6209,borroni,BU CAR G2 - 3/8 x 4 1/2  ZA
CAR-G2--1--308--500--RT--1--1,bulón,,3/8,,5,G2,imperial,,zinc,466.0782,borroni,BU CAR G2 - 3/8 x 5  ZA
CAR-G2--1--516--134--RT--1--1,bulón,,5/16,,1 3/4,G2,imperial,,zinc,143.1913,borroni,BU CAR G2 - 5/16 x 1 3/4  ZA
CAR-G2--1--516--200--RT--1--1,bulón,,5/16,,2,G2,imperial,,zinc,157.1101,borroni,BU CAR G2 - 5/16 x 2  ZA
CAR-G2--1--516--200--RT--2--1,bulón,,5/16,,2,G2,imperial,,,157.1101,borroni,BU CAR G2 - 5/16 x 2  ZD
CAR-G2--1--516--214--RT--1--1,bulón,,5/16,,2 1/4,G2,imperial,,zinc,171.0127,borroni,BU CAR G2 - 5/16 x 2 1/4  ZA
CAR-G2--1--516--234--RT--1--1,bulón,,5/16,,2 3/4,G2,imperial,,zinc,203.4486,borroni,BU CAR G2 - 5/16 x 2 3/4  ZA
CAR-G2--1--516--300--RT--1--1,bulón,,5/16,,3,G2,imperial,,zinc,217.3523,borroni,BU CAR G2 - 5/16 x 3  ZA
CAR-G2--1--516--300--RT--2--1,bulón,,5/16,,3,G2,imperial,,,217.3523,borroni,BU CAR G2 - 5/16 x 3  ZD
CAR-G2--1--516--314--RT--1--1,bulón,,5/16,,3 1/4,G2,imperial,,zinc,231.103,borroni,BU CAR G2 - 5/16 x 3 1/4  ZA
CAR-G2--3--102--300--RT--1--1,bulón,,1/2,,3,G2,imperial,,zinc,580.3417,borroni,BU CAR G2 - 1/2 x 3 RP ZA
CAR-G2--3--102--300--RT--2--1,bulón,,1/2,,3,G2,imperial,,,580.3417,borroni,BU CAR G2 - 1/2 x 3 RP ZD
CAR-G2--3--102--312--RT--1--1,bulón,,1/2,,3 1/2,G2,imperial,,zinc,664.8716,borroni,BU CAR G2 - 1/2 x 3 1/2 RP ZA
CAR-G2--3--102--312--RT--2--1,bulón,,1/2,,3 1/2,G2,imperial,,,664.8716,borroni,BU CAR G2 - 1/2 x 3 1/2 RP ZD
CAR-G2--3--102--500--RT--1--1,bulón,,1/2,,5,G2,imperial,,zinc,876.202,borroni,BU CAR G2 - 1/2 x 5 RP ZA
CAR-G2--3--102--500--RT--2--1,bulón,,1/2,,5,G2,imperial,,,876.202,borroni,BU CAR G2 - 1/2 x 5 RP ZD
CAR-G2--3--102--600--RT--1--1,bulón,,1/2,,6,G2,imperial,,zinc,1136.848,borroni,BU CAR G2 - 1/2 x 6 RP ZA
CAR-G2--3--102--700--RT--1--1,bulón,,1/2,,7,G2,imperial,,zinc,1273.0165,borroni,BU CAR G2 - 1/2 x 7 RP ZA
CAT-G2--1--104--034--RT--1--1,bulón,,1/4,,3/4,G2,imperial,,zinc,71.078,borroni,BU CAR C/ TCA. G2 - 1/4 x 3/4 ZA
CAT-G2--1--104--100--RT--1--1,bulón,,1/4,,1,G2,imperial,,zinc,79.9931,borroni,BU CAR C/ TCA. G2 - 1/4 x 1 ZA
CAT-G2--1--104--112--RT--1--1,bulón,,1/4,,1 1/2,G2,imperial,,zinc,99.3253,borroni,BU CAR C/ TCA. G2 - 1/4 x 1 1/2  ZA
CAT-G2--1--104--114--RT--1--1,bulón,,1/4,,1 1/4,G2,imperial,,zinc,90.4087,borroni,BU CAR C/ TCA. G2 - 1/4 x 1 1/4  ZA
CAT-G2--1--104--134--RP--1--1,bulón,,1/4,,1 3/4,G2,imperial,,zinc,108.1954,borroni,BU CAR C/ TCA. G2 - 1/4 x 1 3/4 ZA
CAT-G2--1--104--200--RP--1--1,bulón,,1/4,,2,G2,imperial,,zinc,117.1762,borroni,BU CAR C/ TCA. G2 - 1/4 x 2 ZA
CAT-G2--1--104--212--RP--1--1,bulón,,1/4,,2 1/2,G2,imperial,,zinc,136.4936,borroni,BU CAR C/ TCA. G2 - 1/4 x 2 1/2 ZA
CAT-G2--1--104--214--RP--1--1,bulón,,1/4,,2 1/4,G2,imperial,,zinc,126.0892,borroni,BU CAR C/ TCA. G2 - 1/4 x 2 1/4 ZA
CAT-G2--1--104--234--RP--1--1,bulón,,1/4,,2 3/4,G2,imperial,,zinc,146.756,borroni,BU CAR C/ TCA. G2 - 1/4 x 2 3/4 ZA
CAT-G2--1--104--300--RP--1--1,bulón,,1/4,,3,G2,imperial,,zinc,155.82,borroni,BU CAR C/ TCA. G2 - 1/4 x 3 ZA
CAT-G2--1--104--312--RP--1--1,bulón,,1/4,,3 1/2,G2,imperial,,zinc,176.6342,borroni,BU CAR C/ TCA. G2 - 1/4 x 3 1/2 ZA
CAT-G2--1--104--314--RP--1--1,bulón,,1/4,,3 1/4,G2,imperial,,zinc,164.6188,borroni,BU CAR C/ TCA. G2 - 1/4 x 3 1/4 ZA
CAT-G2--1--104--400--RP--1--1,bulón,,1/4,,4,G2,imperial,,zinc,191.504,borroni,BU CAR C/ TCA. G2 - 1/4 x 4 ZA
CAT-G2--1--308--100--RT--1--1,bulón,,3/8,,1,G2,imperial,,zinc,214.1169,borroni,BU CAR C/ TCA. G2 - 3/8 x 1 ZA
