codigo,descripcion_original,descripcion_borroni
>TUHG2NC110N,TUERCA HEXAGONAL G2 7/16-UNC (14) NAT,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/16
>TUHG2NC125N,TUERCA HEXAGONAL G2 1/2-UNC (13) NAT,
>TUHG2WH125N,TUERCA HEXAGONAL G2 1/2-WHT (12) NAT,
>TUHG2NC140N,TUERCA HEXAGONAL G2 9/16-UNC (12) NAT,
>TUHG2NC160N,TUERCA HEXAGONAL G2 5/8-UNC (11) NAT,
>TUHG2NC190N,TUERCA HEXAGONAL G2 3/4-UNC (10) NAT,
>TUHG2NC220N,TUERCA HEXAGONAL G2 7/8-UNC (9) NAT,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/8
>TUHG2NC250N,TUERCA HEXAGONAL G2 1-UNC (8) NAT,
>TUHG2NC285N,"TUERCA HEXAGONAL G2 1,1/8-UNC (7) NAT",
>TUHG2NC317N,"TUERCA HEXAGONAL G2 1,1/4-UNC (7) NAT",
>TUHG2NC381N,"TUERCA HEXAGONAL G2 1,1/2-UNC (6) NAT",
>TUHG2NC039Z,TUERCA HEXAGONAL G2 5/32-UNC (32) ZINC,
>TUHG2NC047Z,TUERCA HEXAGONAL G2 3/16-UNC (24) ZINC,
>TUHG2NC065Z,TUERCA HEXAGONAL G2 1/4-UNC (20) ZINC,
>TUHG2NC079Z,TUERCA HEXAGONAL G2 5/16-UNC (18) ZINC,
>TUHG2NC095Z,TUERCA HEXAGONAL G2 3/8-UNC (16) ZINC,
>TUHG2NC110Z,TUERCA HEXAGONAL G2 7/16-UNC (14) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/16
>TUHG2WH125Z,TUERCA HEXAGONAL G2 1/2-12-WHT (12) ZINC,
>TUHG2NC125Z,TUERCA HEXAGONAL G2 1/2-13-UNC (13) ZINC,
>TUHG2NC140Z,TUERCA HEXAGONAL G2 9/16-UNC (12) ZINC,
>TUHG2NC160Z,TUERCA HEXAGONAL G2 5/8-UNC (11) ZINC,
>TUHG2NC190Z,TUERCA HEXAGONAL G2 3/4-UNC (10) ZINC,
>TUHG2NC220Z,TUERCA HEXAGONAL G2 7/8-UNC (9) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/8
>TUHG2NC250Z,TUERCA HEXAGONAL G2 1-UNC (8) ZINC,
>TUHG2NC285Z,"TUERCA HEXAGONAL G2 1,1/8-UNC (7) ZINC",
>TUHG2NC317Z,"TUERCA HEXAGONAL G2 1,1/4-UNC (7) ZINC",
>TUHG2NC381Z,"TUERCA HEXAGONAL G2 1,1/2-UNC (6) ZINC",
>TUHG2NF065Z,TUERCA HEXAGONAL G2 1/4-UNF (28) ZINC,
