codigo,descripcion_original,descripcion_borroni,score,estado
>TUABG2MA14D,TUERCA AUTOFR.BAJA G2 M14-2 DICRO,,0.0,SIN_MATCH
>TUABG2MA16D,TUERCA AUTOFR.BAJA G2 M16-2 DICRO,,0.0,SIN_MATCH
>TUABG2MA18D,"TUERCA AUTOFR.BAJA G2 M18-2,5 DICRO",,0.0,SIN_MATCH
>TUABG2MA20D,"TUERCA AUTOFR.BAJA G2 M20-2,5 DICRO",,0.0,SIN_MATCH
>TUABG2MA22D,"TUERCA AUTOFR.BAJA G2 M22-2,5 DICRO",,0.0,SIN_MATCH
>TUABG2MA24D,TUERCA AUTOFR.BAJA G2 M24-3 DICRO,,0.0,SIN_MATCH
>TUABG2MA30D,"TUERCA AUTOFR.BAJA G2 M30-3,5 DICRO",,0.0,SIN_MATCH
>TUABG2MB08D,TUERCA AUTOFR.BAJA G2 M8-1 DICRO,,0.0,SIN_MATCH
>TUABG2MB10D,"TUERCA AUTOFR.BAJA G2 M10-1,25 DICRO",,0.0,SIN_MATCH
>TUABG2MC10D,TUERCA AUTOFR.BAJA G2 M10-1 DICRO,,0.0,SIN_MATCH
>TUABG2MC12D,"TUERCA AUTOFR.BAJA G2 M12-1,25 DICRO",,0.0,SIN_MATCH
>TUABG2MB12D,"TUERCA AUTOFR.BAJA G2 M12-1,5 DICRO",,0.0,SIN_MATCH
>TUABG2MB14D,"TUERCA AUTOFR.BAJA G2 M14-1,5 DICRO",,0.0,SIN_MATCH
>TUABG2MB16D,"TUERCA AUTOFR.BAJA G2 M16-1,5 DICRO",,0.0,SIN_MATCH
>TUABG2MB18D,"TUERCA AUTOFR.BAJA G2 M18-1,5 DICRO",,0.0,SIN_MATCH
>TUABG2MB20D,"TUERCA AUTOFR.BAJA G2 M20-1,5 DICRO",,0.0,SIN_MATCH
>TUABG2MB22D,"TUERCA AUTOFR.BAJA G2 M22-1,5 DICRO",,0.0,SIN_MATCH
>TUABG2MB24D,TUERCA AUTOFR.BAJA G2 M24-2 DICRO,,0.0,SIN_MATCH
>TUABG2MB30D,TUERCA AUTOFR.BAJA G2 M30-2 DICRO,,0.0,SIN_MATCH
>TU936G2MB14D,"TUERCA HEXAGONAL DIN 936 G2 M14-1,5 DICRO",,0.0,SIN_MATCH
>TUHG2NC047N,TUERCA HEXAGONAL G2 3/16-UNC (24) NAT,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/16,0.715,MATCH
>TUHG2NC065N,TUERCA HEXAGONAL G2 1/4-UNC (20) NAT,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/4,0.705,MATCH
>TUHG2NC079N,TUERCA HEXAGONAL G2 5/16-UNC (18) NAT,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 5/16,0.715,MATCH
>TUHG2NC095N,TUERCA HEXAGONAL G2 3/8-UNC (16) NAT,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/8,0.705,MATCH
>TUHG2NC110N,TUERCA HEXAGONAL G2 7/16-UNC (14) NAT,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/16,0.715,MATCH
>TUHG2NC125N,TUERCA HEXAGONAL G2 1/2-UNC (13) NAT,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/2,0.705,MATCH
>TUHG2WH125N,TUERCA HEXAGONAL G2 1/2-WHT (12) NAT,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/2,0.705,MATCH
>TUHG2NC140N,TUERCA HEXAGONAL G2 9/16-UNC (12) NAT,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 9/16,0.715,MATCH
>TUHG2NC160N,TUERCA HEXAGONAL G2 5/8-UNC (11) NAT,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 5/8,0.705,MATCH
>TUHG2NC190N,TUERCA HEXAGONAL G2 3/4-UNC (10) NAT,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/4,0.705,MATCH
>TUHG2NC220N,TUERCA HEXAGONAL G2 7/8-UNC (9) NAT,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/8,0.713,MATCH
>TUHG2NC250N,TUERCA HEXAGONAL G2 1-UNC (8) NAT,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1,0.692,MATCH
>TUHG2NC285N,"TUERCA HEXAGONAL G2 1,1/8-UNC (7) NAT",,0.0,SIN_MATCH
>TUHG2NC317N,"TUERCA HEXAGONAL G2 1,1/4-UNC (7) NAT",TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/4,0.697,MATCH
>TUHG2NC381N,"TUERCA HEXAGONAL G2 1,1/2-UNC (6) NAT",TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/2,0.697,MATCH
>TUHG2NC039Z,TUERCA HEXAGONAL G2 5/32-UNC (32) ZINC,,0.0,SIN_MATCH
>TUHG2NC047Z,TUERCA HEXAGONAL G2 3/16-UNC (24) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/16,0.708,MATCH
>TUHG2NC065Z,TUERCA HEXAGONAL G2 1/4-UNC (20) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/4,0.697,MATCH
>TUHG2NC079Z,TUERCA HEXAGONAL G2 5/16-UNC (18) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 5/16,0.708,MATCH
>TUHG2NC095Z,TUERCA HEXAGONAL G2 3/8-UNC (16) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/8,0.697,MATCH
>TUHG2NC110Z,TUERCA HEXAGONAL G2 7/16-UNC (14) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/16,0.708,MATCH
>TUHG2WH125Z,TUERCA HEXAGONAL G2 1/2-12-WHT (12) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/2,0.675,MATCH
>TUHG2NC125Z,TUERCA HEXAGONAL G2 1/2-13-UNC (13) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/2,0.675,MATCH
>TUHG2NC140Z,TUERCA HEXAGONAL G2 9/16-UNC (12) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 9/16,0.708,MATCH
>TUHG2NC160Z,TUERCA HEXAGONAL G2 5/8-UNC (11) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 5/8,0.697,MATCH
>TUHG2NC190Z,TUERCA HEXAGONAL G2 3/4-UNC (10) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/4,0.697,MATCH
>TUHG2NC220Z,TUERCA HEXAGONAL G2 7/8-UNC (9) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/8,0.705,MATCH
>TUHG2NC250Z,TUERCA HEXAGONAL G2 1-UNC (8) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1,0.683,MATCH
>TUHG2NC285Z,"TUERCA HEXAGONAL G2 1,1/8-UNC (7) ZINC",,0.0,SIN_MATCH
>TUHG2NC317Z,"TUERCA HEXAGONAL G2 1,1/4-UNC (7) ZINC",TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/4,0.69,MATCH
>TUHG2NC381Z,"TUERCA HEXAGONAL G2 1,1/2-UNC (6) ZINC",TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/2,0.69,MATCH
>TUHG2NF065Z,TUERCA HEXAGONAL G2 1/4-UNF (28) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/4,0.697,MATCH
>TUHG2NF079Z,TUERCA HEXAGONAL G2 5/16-UNF (24) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 5/16,0.708,MATCH
>TUHG2NF095Z,TUERCA HEXAGONAL G2 3/8-UNF (24) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/8,0.697,MATCH
>TUHG2NF110Z,TUERCA HEXAGONAL G2 7/16-UNF (20) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/16,0.708,MATCH
>TUHG2NF125Z,TUERCA HEXAGONAL G2 1/2-UNF (20) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/2,0.697,MATCH
>TUHG2NF140Z,TUERCA HEXAGONAL G2 9/16-UNF (18) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 9/16,0.708,MATCH
>TUHG2NF160Z,TUERCA HEXAGONAL G2 5/8-UNF (18) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 5/8,0.697,MATCH
>TUHG2NF190Z,TUERCA HEXAGONAL G2 3/4-UNF (16) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/4,0.697,MATCH
>TUHG2NF220Z,TUERCA HEXAGONAL G2 7/8-UNF (14) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/8,0.697,MATCH
>TUHG2NF250Z,TUERCA HEXAGONAL G2 1-UNF (14) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1,0.675,MATCH
>TUHG2NF285Z,"TUERCA HEXAGONAL G2 1,1/8-UNF (12) ZINC",,0.0,SIN_MATCH
>TUHG2NF317Z,"TUERCA HEXAGONAL G2 1,1/4-UNF (12) ZINC",TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/4,0.682,MATCH
>TUHG2NF381Z,"TUERCA HEXAGONAL G2 1,1/2-UNF (12) ZINC",TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/2,0.682,MATCH
>TUHG2MA05N,"TUERCA HEXAGONAL G2 M05-0,8 NAT",,0.0,SIN_MATCH
>TUHG2MA06N,TUERCA HEXAGONAL G2 M06-1 NAT,,0.0,SIN_MATCH
>TUHG2MA07N,TUERCA HEXAGONAL G2 M07-1 NAT,,0.0,SIN_MATCH
>TUHG2MA08N,"TUERCA HEXAGONAL G2 M08-1,25 NAT",,0.0,SIN_MATCH
>TUHG2MA10N,"TUERCA HEXAGONAL G2 M10-1,5 NAT",,0.0,SIN_MATCH
