codigo,descripcion,precio_unitario,proveedor
AC6X20,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 20 12.9",88.81,trusoni
AC6X25,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 25 12.9",104.86,trusoni
AC6X30,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 30 12.9",127.33,trusoni
AC6X35,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 35 12.9",142.31,trusoni
AC6X40,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 40 12.9",153.01,trusoni
AC6X45,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 45 12.9",176.55,trusoni
AC6X50,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 50 12.9",188.32,trusoni
AC6X55,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 55 12.9",202.23,trusoni
AC6X60,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 60 12.9",216.14,trusoni
AC6X70,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 70 12.9",256.8,trusoni
AC6X80,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 80 12.9",349.89,trusoni
AC6X90,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 90 12.9",463.31,trusoni
AC6X100,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 100 12.9",538.21,trusoni
AC6X110,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 110 12.9",811.06,trusoni
AC6X120,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 120 12.9",952.3,trusoni
AC6X130,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 130 12.9",1070.0,trusoni
AC6X140,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 140 12.9",1155.6,trusoni
AC6X150,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 150 12.9",1444.5,trusoni
AC8X10,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 10 12.9",147.66,trusoni
AC8X12,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 12 12.9",162.64,trusoni
AC8X16,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 16 12.9",171.2,trusoni
AC8X180,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 18 12.9",174.41,trusoni
AC8X20,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 20 12.9",176.55,trusoni
AC8X25,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 25 12.9",200.09,trusoni
