codigo,tipo,forma,diametro,paso,largo,grado,sistema,acabado,precio_unitario,proveedor,descripcion
AC5X30,tornillo_allen,cilindrica,5,0.80,30,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 30 12.9"
AC5X35,tornillo_allen,cilindrica,5,0.80,35,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 35 12.9"
AC5X40,tornillo_allen,cilindrica,5,0.80,40,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 40 12.9"
AC5X45,tornillo_allen,cilindrica,5,0.80,45,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 45 12.9"
AC5X50,tornillo_allen,cilindrica,5,0.80,50,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 50 12.9"
AC5x55,tornillo_allen,cilindrica,5,0.80,55,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 55 12.9"
AC5X60,tornillo_allen,cilindrica,5,0.80,60,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 60 12.9"
AC5X70,tornillo_allen,cilindrica,5,0.80,70,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 70 12.9"
AC5X80,tornillo_allen,cilindrica,5,0.80,80,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 80 12.9"
AC5X90,tornillo_allen,cilindrica,5,0.80,90,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 90 12.9"
AC5X100,tornillo_allen,cilindrica,5,0.80,100,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 100 12.9"
